id,Standard_length_mm,taxonomical_category,genus,species,prey_length_mm,prey_width_mm,class,prey_number,trial
71,15.83,empty,empty,empty,,,,0,first
64,17.69,empty,empty,empty,,,,0,first
70,18.5,empty,empty,empty,,,,0,first
69,21.99,Calanoida,Pseudodiaptomus,Pseudodiaptomus marinus,0.68,0.25,PB,2,first
69,21.99,Poecilostomatoida,Corycaeus,Corycaeus affinis,0.6,0.33,C,2,first
65,22.27,empty,empty,empty,,,,0,first
68,22.35,empty,empty,empty,,,,0,first
63,23.49,Calanoida,Paracalanus,Paracalanus parvus,0.65,0.28,C,1,first
62,23.94,empty,empty,empty,,,,0,first
67,24.52,Calanoida,unknown,unknown,0.5,0.25,B,1,first
66,24.57,unidentified,unidentified,unidentified,0.75,0.3,B,1,first
81,16.25,crustacean_fragment,unidentified,unidentified,0.38,0.25,B,7,second
81,16.25,crustacean_fragment,unidentified,unidentified,0.28,0.25,B,7,second
81,16.25,crustacean_fragment,unidentified,unidentified,0.25,0.2,B,7,second
81,16.25,crustacean_fragment,unidentified,unidentified,0.25,0.25,B,7,second
81,16.25,crustacean_fragment,unidentified,unidentified,0.28,0.2,B,7,second
81,16.25,crustacean_fragment,unidentified,unidentified,0.25,0.2,B,7,second
81,16.25,crustacean_fragment,unidentified,unidentified,0.23,0.18,B,7,second
76,19.15,empty,empty,empty,,,,0,second
78,21.53,empty,empty,empty,,,,0,second
74,22.46,Cladocera,Evadne,Evadne tergestina,0.4,0.18,B,1,second
75,22.61,empty,empty,empty,,,,0,second
79,23.4,empty,empty,empty,,,,0,second
77,24.19,Calanoida,Centropages,Centropages abdominalis,1,0.4,B,5,second
77,24.19,Calanoida,Centropages,Centropages abdominalis,0.4,0.25,B,5,second
77,24.19,Poecilostomatoida,Corycaeus,Corycaeus affinis,0.5,0.28,C,5,second
77,24.19,Amphipoda,Gammaridea,Gammaridea,1.13,0.28,B,5,second
77,24.19,Decapoda,Brachyura,Brachyura_Zoea,1.13,0.43,PB,5,second
72,24.74,Decapoda,Brachyura,Brachyura_Zoea,0.85,0.5,C,7,second
72,24.74,Decapoda,Brachyura,Brachyura_Zoea,1.15,0.7,C,7,second
72,24.74,Decapoda,Brachyura,Brachyura_Zoea,1.55,0.85,C,7,second
72,24.74,Decapoda,Brachyura,Brachyura_Zoea,1.08,0.5,C,7,second
72,24.74,Decapoda,Brachyura,Brachyura_Zoea,1.45,0.58,C,7,second
72,24.74,Decapoda,Brachyura,Brachyura_Zoea,0.58,0.38,C,7,second
72,24.74,Decapoda,Brachyura,Brachyura_Zoea,1.3,0.45,C,7,second
80,24.83,Calanoida,unidentified,unidentified,0.45,0.25,B,3,second
80,24.83,Decapoda,Brachyura,Brachyura_Zoea,1.2,0.55,C,3,second
80,24.83,crustacean_fragment,unidentified,unidentified,0.38,0.23,B,3,second
73,25.07,unidentified,unidentified,unidentified,0.63,0.38,,1,second
91,26.09,Cirripedia,Cirripedia,Cirripedia_Nauplius,0.53,0.3,C,6,third
91,26.09,Decapoda,Brachyura,Brachyura_Zoea,1.1,0.38,C,6,third
91,26.09,Decapoda,Brachyura,Brachyura_Zoea,0.88,0.33,C,6,third
91,26.09,Decapoda,Brachyura,Brachyura_Zoea,1.05,0.28,C,6,third
91,26.09,Decapoda,Brachyura,Brachyura_Zoea,0.3,0.25,B,6,third
91,26.09,Vertebrata,Fish_egg,unidentified,0.78,0.38,C,6,third
89,27.01,empty,empty,empty,,,,0,third
84,28.01,Cirripedia,Cirripedia,Cirripedia_Cypris,0.55,0.25,C,1,third
90,28.96,Decapoda,Brachyura,Brachyura_Zoea,1.25,0.33,C,1,third
88,30.32,unidentified,unidentified,unidentified,0.5,0.25,B,1,third
83,32.9,unidentified,unidentified,unidentified,1,0.5,B,1,third
86,33.73,Calanoida,Labidocera,Labidocera rotunda,1.43,0.58,C,6,third
86,33.73,Cirripedia,Cirripedia,Cirripedia_Nauplius,0.48,0.3,C,6,third
86,33.73,Decapoda,Brachyura,Brachyura_Zoea,2.18,0.93,C,6,third
86,33.73,Decapoda,Brachyura,Brachyura_Zoea,1.08,0.43,C,6,third
86,33.73,Decapoda,Brachyura,Brachyura_Zoea,0.93,0.4,C,6,third
86,33.73,Decapoda,Brachyura,Brachyura_Zoea,1.05,0.35,C,6,third
82,33.95,Decapoda,Brachyura,Brachyura_Zoea,1.03,0.45,C,2,third
82,33.95,Decapoda,Brachyura,Brachyura_Megalopa,1.85,0.78,C,2,third
87,35.93,Decapoda,Anomura,Anomura _Zoea,1.55,0.38,C,11,third
87,35.93,Decapoda,Brachyura,Brachyura_Zoea,1.03,0.35,C,11,third
87,35.93,Decapoda,Brachyura,Brachyura_Zoea,0.8,0.35,C,11,third
87,35.93,Decapoda,Brachyura,Brachyura_Zoea,1.48,0.55,C,11,third
87,35.93,Decapoda,Brachyura,Brachyura_Zoea,1.53,0.55,C,11,third
87,35.93,Decapoda,Brachyura,Brachyura_Zoea,1.33,0.43,C,11,third
87,35.93,Decapoda,Brachyura,Brachyura_Zoea,1.53,0.58,C,11,third
87,35.93,Decapoda,Brachyura,Brachyura_Zoea,0.78,0.4,C,11,third
87,35.93,Decapoda,Brachyura,Brachyura_Zoea,0.9,0.45,C,11,third
87,35.93,Decapoda,Brachyura,Brachyura_Zoea,0.63,0.55,B,11,third
87,35.93,Vertebrata,Fish_egg,unidentified,0.65,0.6,C,11,third
85,36.61,empty,empty,empty,,,,0,third
